MSFT  KO MO LMT MMM MRK MCD MDT LOW MS MET MON  KFT MA
-0.026932 0.013211 0.024938 -0.011142 -0.012912 0.022936 0.011632 -0.026743 -0.012259 -0.07803 -0.00715 0.013135 0 0
0.092659 0.001105 0.013371 0.012676 0.046745 0.017454 -0.00345 0.070744 0.031206 0.157755 0.028807 0.037204 0 0
-0.009912 -0.006622 0.011248 0.001391 -0.011915 0.008445 0.009615 -0.024776 -0.013927 -0.028626 -0.011 -0.018478 0 0
0.01713 -0.024444 0.005348 -0.005556 0.025294 0.020675 0.016762 -0.004234 -0.034002 -0.011984 0.009437 -0.000278 0 0
0.044269 -0.005695 0.012128 0.017039 0.038153 0.005 0.011615 -0.008977 0.026354 0.086498 0 -0.013337 0 0
0.006032 0.010997 -0.03847 -0.000275 -0.016211 -0.015818 -0.01 -0.022884 -0.015125 0.055088 -0.028381 -0.018586 0 0
0.035643 0.009971 0.003279 0.006868 0.008613 0.03046 0.005986 0.049036 -0.026786 0.033825 0.025773 -0.004591 0 0
-0.022354 0.018847 0.0146 -0.010914 0.025527 -0.005031 0.012272 0.005814 -0.008257 -0.036913 0.0134 -0.004036 0 0
0.011351 0.006386 0.026847 0 -0.014301 0.022124 -0.001837 0.043931 -0.023682 0.025261 -0.003636 0.036179 0 0
0.064249 0.022976 -0.020498 -0.002759 0.065197 -0.019171 0.011778 0.00598 0.124408 0.136789 -0.004645 -0.036034 0 0
0.03989 0.016043 -0.007047 -0.026279 0.00431 -0.012989 -0.000728 0.034126 -0.005734 0.005531 -0.012 0.008403 0 0
0.014109 -0.010526 0.014194 -0.006534 -0.034335 -0.059537 -0.013833 -0.017458 -0.011024 -0.018879 -0.019906 0.008621 0 0
-0.01087 0.009574 0.016752 -0.01344 0.033778 0.008694 -0.004799 -0.007584 0 -0.033333 -0.004819 -0.005413 0 0
-0.010256 -0.001265 0 0.04029 -0.001634 -0.01064 -0.004451 -0.039301 -0.025896 -0.034483 -0.014182 -0.037812 0 0
0.03168 0.017092 0.057351 0 0.007924 0.019058 0.005961 0.006591 -0.003521 -0.003247 0.003509 0.01816 0 0
-0.008036 -0.026971 0.003945 -0.005294 0.006836 -0.000134 0.000741 -0.032287 0.030035 0.023778 0.01014 -0.066374 0 0
-0.029076 0.002132 0.003536 0.008403 0.00976 0.010688 0.003331 0.032431 0.06518 0.038816 0.006577 -0.051049 0 0
0.009386 -0.017234 -0.01899 -0.023333 0.000252 0.00423 0.014386 0.00791 0.014493 -0.038438 -0.002751 0.021452 0 0
0.03572 0.031176 0.039713 0.05603 -0.012604 -0.00487 0.010182 0.011659 0.027302 0.008919 0.017241 0.033926 0 0
-0.005843 -0.00126 -0.020921 -0.007541 -0.00817 -0.009127 -0.008279 0.008644 -0.007571 0.050039 -0.015593 0.016875 0 0
-0.017632 -0.017238 0.011566 -0.023609 0.010296 0.004806 -0.023593 -0.019776 -0.020396 -0.004359 -0.003099 0.002458 0 0
0.032395 0.001711 0.027132 0.000556 0.019023 0.014614 -0.002974 0.024658 0.020502 0.016911 0.022452 -0.00981 0 0
0.008905 -0.000214 -0.018868 0 -0.017418 0.00694 -0.001864 -0.020127 -0.011057 -0.005791 -0.0125 -0.003096 0 0
0.009526 -0.00534 -0.019231 0.004167 -0.013062 -0.005982 -0.008218 -0.020764 -0.015276 -0.014038 -0.021553 -0.006211 0 0
-0.023036 -0.017393 0.007451 0.004149 0.004899 0.011512 0.024482 -0.00684 -0.028946 -0.01439 0.010489 0.00625 0 0
-0.005682 -0.003278 0.018295 -0.008264 0.009493 -0.010347 -0.010662 -0.002525 0.054677 -0.001076 -0.002076 0.009317 0 0
-0.008571 -0.007016 -0.010894 0.017222 -0.005591 -0.00758 0.030844 -0.018642 0.002655 -0.027538 0.004161 0.023692 0 0
-0.009798 0.015897 -0.016232 0.023484 0.007838 0.009876 0.00036 0.007739 0.009189 0.02816 0.015193 0.003907 0 0
-0.006548 -0.002391 0.000196 -0.004269 -0.001268 -0.010301 -0.009009 0.006749 0.015586 0.00954 0.022109 0.035329 0 0
0.013037 0.050762 0.028083 0.012862 0.067287 0.028985 0.007273 0.01988 -0.000912 0.053193 0.028286 0.041064 0 0
-0.014318 -0.002073 -0.007832 0.013228 -0.014263 0.006402 0.028881 0.038531 0.029658 0.008683 0.011327 0.011111 0 0
-0.001171 -0.000623 0.008279 0.001305 -0.005335 -0.015267 0.045614 -0.018987 0.01034 -0.009469 0.00032 0.003022 0 0
0.010281 0.00395 -0.041054 0.019296 0.000325 0 0.002013 -0.024249 0.059941 0.052723 -0.008317 -0.005752 0 0
