COP CVX CVS CAT CL CPB C CSCO COF COST CMCSA
-0.002001 0.003035 0.030019 -0.031556 -0.007761 -0.000342 -0.015891 -0.071359 -0.014414 0.013866 0.006584
-0.001696 0.002191 0 0.014232 -0.01547 0.011644 0.009256 0.013684 -0.008074 0.043443 -0.019864
-0.004016 0.003436 -0.008743 0.01274 0.01077 -0.003047 0.010732 -0.021288 0.029796 -0.003341 -0.009639
0.005738 0.01712 -0.000367 0.016955 0.003668 0.006112 0.009266 0.046684 0.006711 -0.007478 0.007986
-0.005089 -0.003366 0.005331 0.001972 0.012879 -0.001012 0.005547 0.091739 0.022222 0.032736 0.02253
-0.018909 -0.015762 0.025782 -0.022186 0.004296 -0.018581 -0.013506 -0.036212 -0.039855 -0.006289 -0.030024
-0.016114 -0.00156 0.008556 0.006038 0.005133 0 -0.008292 0.05106 -0.002113 0.037975 -0.003495
0.003532 0.004479 -0.009014 -0.011822 0.002043 -0.01136 -0.009333 -0.060953 -0.003933 -0.014878 0.002004
-0.00224 0.010991 -0.033351 -0.017854 -0.000849 -0.00766 -0.010795 -0.005369 -0.005011 -0.01535 0.00675
0.005933 0.000923 0.013653 0.008621 0.00017 -0.008421 -0.000397 -0.000491 -0.000458 0.016595 -0.001738
-0.009884 -0.005533 -0.006553 0.004088 -0.015808 -0.010616 -0.009726 -0.066274 -0.028707 0.001484 0.004229
-0.021575 -0.014323 -0.001649 0.002776 -0.003282 -0.005365 -0.025656 -0.067298 -0.048892 -0.001729 -0.002229
-0.001646 0.010767 -0.127363 -0.000738 0.003292 -0.005394 0.014195 -0.061443 -0.004132 0.001979 0.01291
-0.010879 -0.010239 0.024185 0.005725 0.000173 -0.005423 0.009939 -0.009009 -0.016929 0.039012 -0.021814
0.007499 -0.00209 0.00308 -0.010466 0.004662 0 0.019281 0.008485 0.015026 0.008793 0.012278
-0.011909 -0.010785 -0.018833 0.029876 0.017532 0.014177 -0.00197 -0.014423 0.006487 0.003769 0.022277
-0.026615 -0.010691 -0.051534 0.008829 0.030405 -0.001792 0.057256 0.078049 0.039498 0.023703 0.023002
0.007739 0.013696 -0.007259 -0.023933 -0.027049 -0.010054 -0.002801 -0.00905 -0.015421 -0.038973 -0.010651
-0.01843 0.002217 -0.049856 -0.036597 -0.007582 -0.006892 -0.015918 0.056507 -0.024544 0.000716 -0.005024
0.006259 -0.002633 0.028451 0.010446 0.03056 -0.001461 -0.007612 -0.026472 -0.014236 -0.038379 0.004087
-0.033345 -0.034847 -0.172109 -0.017105 -0.001647 -0.010241 -0.008629 -0.004994 -0.026029 -0.015121 0.004789
-0.006256 -0.029103 0.035059 -0.031172 0.005776 0.011087 0.017408 0.036252 0.043103 0.059904 0.002622
0.02518 0.019833 0.021434 -0.012041 -0.032157 -0.058845 0.004563 -0.020452 -0.005785 -0.02446 0.020918
-0.008421 -0.002099 -0.029534 0.038162 0.016782 0.066408 0.012112 0.056044 0.013799 0.030672 -0.013271
0.005839 0.000886 -0.012547 0.000577 0.004502 0.004916 -0.00804 -0.001561 0.00082 -0.004724 0.007551
0.011434 0.010289 0.028656 -0.005963 -0.01029 -0.002923 -0.014515 -0.083898 0.015894 -0.019934 -0.016393
-0.001217 -0.003504 0.003942 -0.040248 -0.009894 -0.010627 -0.0285 -0.044937 -0.030323 -0.02155 -0.003571
-0.010622 -0.010549 0 0.016129 -0.010332 0.010741 0.000197 0.027397 -0.014305 0.038357 -0.069295
0.002464 -0.007108 0.020942 -0.032143 -0.020195 -0.006229 -0.033071 -0.06087 -0.004387 -0.006435 -0.012837
-0.016854 -0.019351 0.011538 0.00451 -0.034934 0.006637 -0.030945 0.030864 -0.001017 0.011993 -0.011704
-0.008929 0.015855 -0.013181 0.059184 -0.006697 0.007326 0.023109 0.069461 0.071259 0.02228 -0.018684
0.005766 0.003818 0.011045 0.011175 0.006013 0.001091 0.003285 0.049272 0.039119 -0.000696 -0.002682
-0.01469 -0.019575 0.009909 -0.040206 0.011592 0.001816 0.005935 -0.054963 -0.013565 0.032483 0.017209
-0.024182 -0.009127 0.010566 0.063133 0.008057 0.011965 0.03174 0.004517 0.035383 -0.006742 -0.022205
-0.010248 -0.000576 -0.004232 -0.009711 -0.018117 0.01254 -0.001775 -0.035975 -0.022832 -0.012896 -0.001892
0.016566 0.004032 0.013437 0.028853 0.002171 0.012031 -0.009285 0.035569 -0.033445 0.007793 -0.016793
0.016852 0.020654 -0.005682 -0.00369 0.007401 -0.003497 0.008175 0.01295 0.002212 0.008415 0.006887
0.004371 -0.014727 -0.005217 -0.001852 -0.020785 -0.018246 -0.006725 0.015564 0.001577 -0.013983 -0.028728
-0.039166 -0.028069 0 -0.018553 -0.005855 -0.00965 -0.02489 0.006021 -0.020305 -0.038884 -0.023662
0.049443 0.046842 0.00025 0.00189 0.004432 0.021292 0.00776 0.01741 0.000161 -0.004998 0.026255
0.018342 0.009869 -0.070911 -0.008113 -0.005332 -0.019081 0.013171 0.036364 0.007229 0.009328 0.020523
0.01244 0.01166 -0.012362 0.003424 -0.002033 -0.027017 0.001 -0.016512 0.026475 -0.019431 0.010744
0.00825 0.00472 -0.000816 0.015166 0.003519 -0.001481 -0.008192 -0.008919 -0.01849 0.016916 0.002453
-0.006093 -0.00153 -0.019336 0.028945 0.000369 0.014461 0.011483 0.01747 0.017413 0.023051 0.014138
-0.002277 -0.002407 -0.026381 -0.020871 -0.023063 -0.021564 0.008564 0.056191 0.021783 -0.018583 0.006702
0.010534 -0.001316 0.052767 0.012048 -0.000189 0.005603 0.011256 -0.002463 0.003502 0.027219 0.007723
-0.015636 -0.004064 -0.024655 -0.002747 0.008689 -0.014116 0.001567 -0.009877 -0.003187 -0.008986 -0.009514
-0.006883 -0.003198 -0.001111 -0.027548 -0.009738 -0.017332 -0.014277 -0.025436 -0.010859 -0.032086 0.011206
0.015639 0.008187 0.003059 0.00661 0.001324 -0.002301 0.007936 -0.01433 -0.010008 0.012731 0.001319
-0.002625 -0.01229 -0.005822 -0.010131 0.000755 -0.004612 -0.023622 -0.066459 -0.027527 0.000237 -0.007378
-0.002456 0.006444 0.008087 -0.007771 0.009624 -0.00193 -0.003831 0.017241 -0.004958 -0.029879 -0.001593
0.018994 0.012805 -0.002766 0.024833 0 0.005416 0.004655 0.002187 -0.003214 -0.022733 0.001064
-0.006558 -0.000545 -0.004161 0.006897 0.023364 0.002693 -0.010274 -0.006547 0.014028 0.018009 0.002656
0.005907 0.005889 0.024512 -0.002962 -0.002557 -0.00307 -0.007735 -0.030752 0.019558 0.007862 -0.014305
0.022798 0.015395 0.016857 0.025436 -0.004212 0.007698 -0.003077 -0.036827 -0.007954 -0.032179 -0.001881
-0.004559 0.00043 -0.016578 -0.019555 0.018021 0.001146 -0.014815 0.028235 -0.02531 0.01738 -0.014001
-0.015776 -0.011177 -0.004894 -0.007387 -0.001445 -0.008012 -0.026734 -0.049771 -0.015968 -0.024263 -0.004642
-0.005515 -0.007282 0.038251 -0.018605 0.003075 0.003846 0.017167 0.017459 0.013604 0.020807 0.016461
0.001906 -0.009634 -0.021579 -0.006446 0.000902 0.028736 -0.010549 -0.052663 -0.039942 -0.03828 0.001619
-0.002768 0.016471 0.008607 0.016981 0.012613 0.021974 0.002132 0.029357 0.014822 0.004652 0.007545
0.016479 0.003589 -0.013333 -0.028143 -0.004093 0.009475 -0.004468 0.01699 -0.000664 -0.006946 -0.012102
0.01314 0.005635 0.026486 0.008494 -0.001965 0.01444 0.032272 0.088902 -0.017605 0.015026 0.028223
-0.010275 -0.007543 -0.025803 0.004211 -0.008951 -0.008541 -0.006211 -0.013151 -0.006255 0.007146 -0.007372
-0.008339 -0.010641 0.007297 -0.0061 -0.011741 -0.005025 -0.019792 -0.051083 -0.023477 0.006589 -0.03183
0.003947 0.007024 -0.013416 -0.018604 -0.003838 -0.000361 -0.012752 -0.000585 -0.012544 -0.022155 0.012055
-0.004615 -0.014058 -0.002992 -0.022865 -0.00367 0.011187 -0.019806 -0.062646 -0.025406 -0.024459 -0.020032
-0.012536 0.003095 -0.015003 0 -0.002762 0.006067 0.00593 0.019987 0.006698 -0.012668 0.008011
0.018435 0.006612 0.024647 0.0076 0.010157 0.010642 0.00786 -0.034293 -0.05125 0.006683 0.005481
0.010758 0.000547 0.027027 -0.001588 0.01883 0.004563 -0.012565 -0.056436 -0.005307 -0.011949 0.001908
0.003548 0.003829 -0.035526 0.016501 0.010407 -0.007687 -0.033567 -0.032258 -0.042683 -0.058855 -0.023395
-0.003872 0.007084 -0.024011 -0.044397 -0.005505 -0.004577 -0.014302 -0.002778 -0.034634 -0.030268 -0.018106
-0.010309 -0.007576 0.01314 -0.015555 0.0225 -0.000354 -0.02234 0.00766 0.038557 0.006184 -0.01617
0.000512 -0.01614 -0.016556 -0.070894 0.002445 0.003185 -0.067138 -0.032481 -0.108199 -0.059116 -0.013264
-0.050179 -0.027267 0.017116 0.022824 0.010453 0.020811 -0.006566 -0.030714 -0.065895 0.004666 0.009936
