EMC DELL DD DOW EXC RTE DIS DVN
0.01686 -0.003028 -0.001183 -0.001387 0.008778 0.01577 -0.009381 0.002043
-0.033734 -0.017354 -0.01327 -0.01694 0.004972 0.01069 -0.024242 -0.025484
-0.036686 -0.037528 -0.009606 -0.008192 -0.014844 0.007051 -0.013587 -0.016946
-0.059582 -0.030734 -0.017216 -0.00769 -0.015605 -0.021005 -0.030697 0
0.009797 0.011832 0.010856 0.006315 -0.005102 -0.016092 0.032481 -0.015322
-0.032988 0.043499 0.004638 0.027952 -0.002564 0.01999 0.011011 -0.052086
-0.0301 0.003138 0 -0.016371 -0.000184 -0.001018 -0.013613 -0.019608
-0.042759 -0.039321 -0.016521 -0.012412 -0.003489 0.012739 -0.034306 -0.002093
-0.038184 0.002326 -0.043231 -0.006855 0.016771 -0.016352 -0.015517 -0.003496
0.044944 0.047332 -0.008779 -0.018694 0.001813 -0.014834 -0.021983 0.0145
-0.014337 -0.082853 -0.102631 -0.103165 -0.018636 -0.003115 -0.18363 -0.009912
-0.061818 -0.043961 0.026415 0.007843 -0.025627 -0.00026 -0.044156 -0.0669
-0.023256 -0.035877 -0.007919 -0.009728 -0.008515 -0.044803 0.005435 -0.055708
0.001587 -0.083857 -0.027936 -0.031434 0.004771 -0.003272 -0.082162 -0.030423
-0.116482 -0.048627 -0.014369 0.006085 -0.030389 -0.004378 0.052415 0.018827
0.152466 0.118461 0.07111 0.075269 -0.000392 -0.033251 0.001679 -0.113551
0.011673 0.030107 -0.014444 0.003125 0.01117 -0.017055 -0.024581 -0.014199
-0.021538 -0.052192 0.006201 -0.01947 -0.022287 -0.026605 -0.001145 -0.045357
-0.065252 -0.006608 0.012605 0.01702 -0.117939 0.015746 0.006307 0.062279
-0.011775 0.027162 0.037898 0.034417 0.002247 0.04007 0.060969 0.039589
-0.055319 0.009714 0.005864 -0.005189 -0.00583 0.009561 -0.032223 -0.039244
-0.009009 -0.009086 -0.012984 0.013501 -0.013081 0.043175 0.054384 0.006051
0.082727 0.113269 0.027383 -0.002422 0.028108 0.010681 0.047895 0.003308
0.049538 0.081395 -0.007055 0.001517 -0.016448 -0.001321 -0.030638 0.07524
0.052 0.010753 -0.000526 0.009697 0.030508 0.012963 -0.005181 0.028436
0.015209 0.024823 -0.007372 -0.011104 -0.013158 0.004962 -0.025521 -0.00759
-0.044944 -0.020329 0.009019 0.002124 -0.015778 -0.029366 0.020845 0.018028
-0.038431 0.025166 0.038643 0.020291 0.00429 -0.016064 0.010471 0.010196
0.088091 0.075366 0.056695 0.035322 -0.008543 -0.004082 0.028497 -0.023639
-0.03973 -0.03364 -0.015808 -0.010895 0.019274 0.002732 -0.012091 -0.015234
0.022639 -0.022793 -0.014359 -0.005217 0.001112 -0.013624 -0.023457 -0.01989
0.026718 0.029262 0.018519 0.000291 0.001556 0.028453 0.000522 0.042559
-0.166543 -0.043263 -0.010182 -0.013399 -0.023519 0.013967 -0.034447 -0.020005
0.002676 0 -0.005388 0.009153 -0.029766 -0.015894 -0.032432 -0.019586
0.024021 0.035745 0.002216 -0.008192 0.026464 -0.002692 0.032961 0.021384
0.059079 0.02079 0.028501 0.023599 0.015286 -0.009447 0.003245 0.011019
-0.003281 0.003666 0.005733 0.00317 -0.076854 0.020708 -0.001617 -0.002997
0.02716 0.010552 -0.01924 0.005458 0.002921 -0.002936 -0.00432 0.014758
0.059295 0.038554 -0.023977 -0.004286 0.018204 0.017403 0.031453 0.030164
0.014372 -0.013921 0.025062 0.004878 -0.021454 0.003947 -0.016299 0.043137
-0.034303 -0.055294 -0.012104 -0.015705 0.010962 -0.003932 -0.024586 0.020301
-0.072587 -0.035284 -0.014212 -0.011604 0.012048 0.023684 -0.004932 -0.057725
0.025812 0.031842 -0.005966 -0.024068 0.001667 -0.001285 0.023678 -0.001564
0.05763 0.02377 0.034008 0.035789 -0.001664 -0.016731 0.01291 0.008877
0.004605 0.015071 0.006772 0.017422 -0.015238 -0.041885 0.002124 -0.022774
0.107716 0.015249 0.009368 -0.005422 0.03119 0.028689 0.015368 -0.032309
0.055172 0.037154 0.024036 0.02439 0.012661 0.011155 -0.021399 0.021073
-0.018301 0.000381 0.004183 0.006443 0.007178 -0.013659 -0.015467 0.018226
-0.001332 -0.00419 0.000463 -0.006958 0.011494 0.036751 0.020585 -0.002896
0.034 -0.01492 -0.010641 0.003644 -0.005682 0.00829 0.005839 0.022703
-0.009026 0.001553 -0.010288 -0.014521 0.002057 -0.014645 -0.012665 -0.018844
0.037736 0.039938 0.03331 0.021252 0.001882 0.004694 0.020845 0.015522
-0.025078 0.023863 -0.002996 0.014151 -0.011034 -0.018946 0.011518 -0.033679
0.038585 0.008376 0.019649 0.025992 -0.002092 -0.00291 0.050725 -0.110724
0.011146 -0.039364 -0.004307 -0.005067 -0.001864 0.013266 0.02266 0.012964
0.032456 0.01203 0.019353 0.023854 -0.014002 -0.020948 0.035645 0.023214
-0.044484 -0.019688 0.009158 -0.009686 0.028166 0.004814 -0.010698 0.041303
-0.031657 -0.016673 -0.008854 -0.00793 -0.014733 -0.016236 -0.019746 -0.017039
0.019231 0.0158 0.019428 0.011191 0.010748 -0.000271 0.007194 0.021597
0.059748 0.021244 -0.025192 -0.005797 -0.003699 -0.001353 0.018571 -0.051182
0.059347 -0.016345 -0.001573 -0.005036 0.016473 0.00271 -0.01496 0.025799
-0.064986 -0.018505 -0.009453 -0.009057 -0.013924 -0.012162 -0.040816 -0.0483
0.024566 0.04117 -0.000454 -0.008871 0.009491 0.003557 0.002474 0.032733
