ORCL PEP PG PFE OXY NKE NSC NOV NWSA NYX
0.019412 -0.006502 0.003866 0.021004 -0.012408 0.022705 0.024281 -0.022128 0 0
-0.018465 0.004288 -0.009858 -0.005486 0.002037 -0.017005 -0.030729 -0.020459 0 0
-0.048207 -0.010787 0.001089 -0.009193 0.004405 -0.010332 -0.020833 -0.010759 0 0
-0.00315 0.004543 0.017871 -0.004175 0.016194 0.016509 -0.023127 0.028471 0 0
-0.039594 0.002261 -0.008397 -0.006289 -0.017264 -0.009553 -0.026042 0.020218 0 0
-0.041935 -0.012184 -0.001386 0.01383 -0.016216 0.002418 -0.028196 -0.01372 0 0
0.010101 -0.011878 -0.034844 -0.014335 0.007898 -0.013028 -0.015007 -0.005873 0 0
-0.010667 0.002312 -0.007188 0.01384 -0.013629 -0.002444 -0.005587 -0.033582 0 0
0.12938 0.008072 0.004183 0.018047 0.001382 0.044107 -0.001532 0.009009 0 0
0.045346 0.008007 0.002243 0.011364 -0.011728 -0.014316 -0.009207 0.027105 0 0
0.021689 0.025193 -0.003197 0.008315 -0.022688 0.036429 0.028394 -0.041292 0 0
-0.023464 0.003321 0.014916 -0.046356 0.012857 0.023432 -0.01506 -0.012306 0 0
0.01659 -0.009709 -0.007585 -0.017995 -0.023272 -0.012346 -0.006626 0.009836 0 0
0.037704 -0.001114 0.016879 0.004522 0.002166 -0.028409 -0.018984 0.024026 0 0
-0.021692 0.012045 -0.007203 -0.015162 -0.01513 -0.002105 0.019874 -0.051998 0 0
0.063193 0.004849 0.003943 0.013952 -0.030724 -0.01594 0.027692 -0.085284 0 0
-0.009385 -0.030489 0.002357 -0.049822 0.003396 0.000238 0.035429 -0.02011 0 0
0.030526 0.022398 0.010502 0.021224 -0.007146 0.00381 -0.024096 -0.039552 0 0
0.009704 0.009515 0.002016 -0.011247 0.001136 0.008778 -0.002963 -0.018259 0 0
-0.042489 -0.014248 -0.001084 -0.016815 0.016648 -0.010113 0.014363 -0.004749 0 0
-0.038035 -0.001779 0.007283 0.007294 0.010048 -0.00689 -0.020996 0 0 0
0.03844 0.007574 0.017538 0.027466 -0.023581 -0.007177 -0.000499 -0.041352 0 0
-0.069804 0 0.013154 -0.008262 0.012075 -0.008916 0.004491 -0.013272 0 0
0.023309 -0.003095 0.025966 -0.048028 -0.00261 0.029905 0.071038 -0.050021 0 0
0.092222 0.010202 0 -0.032175 0.006355 0.062323 -0.008349 -0.095575 0 0
-0.006104 -0.002415 -0.008873 0.022075 0.002972 0.002889 0.005613 0.01272 0 0
-0.042989 0.012104 0.014822 -0.014572 -0.012963 0.028141 0.016744 -0.128986 0 0
0.042781 0.003479 0.01128 0.018748 -0.003002 0.011853 0.014639 0.018303 0 0
-0.036923 0.018202 -0.005005 0.062986 -0.034626 -0.020447 0.014427 -0.000545 0 0
0.020767 -0.011066 -0.011705 0.002926 0.016374 0.038052 -0.014222 0.005994 0 0
-0.005217 -0.004949 -0.004387 0.007051 0.004603 -0.00796 -0.045987 0.032503 0 0
-0.049292 -0.025735 -0.004259 -0.032351 0.006109 -0.024071 -0.020321 0.02361 0 0
0.004413 -0.009545 0.004277 -0.005489 -0.022391 -0.003678 -0.053063 -0.057406 0 0
0.057661 0.026446 0.028051 0.006021 0.03882 0.015852 -0.006622 0.059815 0 0
0.007788 -0.001528 0.014286 -0.002743 0.016069 0.022659 0.058974 -0.000513 0 0
-0.018032 -0.001312 -0.007465 -0.003751 0.007723 -0.021739 -0.013559 -0.010267 0 0
-0.020462 0.009415 0.00894 0.006526 0.012774 -0.014957 -0.004909 -0.017635 0 0
-0.031602 0.011497 -0.001125 0.02793 -0.003964 0.031453 -0.0074 0.003168 0 0
0.013274 -0.06305 0.006759 -0.001941 -0.007959 0.005468 -0.007952 -0.011579 0 0
-0.000546 0.017395 -0.000559 -0.009723 0.004741 0.041414 0.017588 0.011715 0 0
-0.016931 -0.000225 -0.017352 0 -0.009074 0.00723 -0.004444 -0.05 0 0
-0.03 -0.009901 0.007548 -0.009818 -0.007692 -0.052243 -0.007937 -0.002216 0 0
-0.0126 0.011136 -0.001979 -0.001983 0.006275 0.005049 0.0095 -0.038867 0 0
-0.054524 0.003147 -0.010763 -0.003974 -0.018342 0.004815 -0.014859 -0.056037 0 0
-0.019018 0.015685 0.012169 0.01621 0.010837 0.013542 0.004022 -0.0153 0 0
-0.051907 0.00728 0.016549 0.008589 0.014418 0.016238 0.023035 0.041019 0 0
0.03496 -0.01336 0.003479 -0.004136 0.001458 0.004854 -0.003426 0.006567 0 0
-0.008923 0.011099 0.005269 0.00342 0.004003 -0.003623 0.014244 0.002966 0 0
-0.034727 0.00022 -0.004414 0.006087 0.034795 -0.015152 -0.020823 0.109403 0 0
0.019987 0.00856 0.027847 -0.000485 -0.005254 0.005333 0.043521 -0.019723 0 0
-0.038537 -0.005876 0.007548 0.013596 -0.012324 -0.005713 -0.030806 -0.007613 0 0
0.006114 0.01817 0.012441 -0.008144 -0.001426 -0.010671 -0.024939 -0.043836 0 0
-0.045915 -0.00989 -0.011892 -0.018595 -0.000357 0.008919 -0.070211 -0.012608 0 0
0.036093 0.01911 0.011634 0.000984 -0.016786 0.005345 0.040453 0.002322 0 0
-0.043033 0.006819 0.017052 0 0.008718 0.006748 0.016589 -0.0359 0 0
0.084226 -0.003175 0.00078 0.015978 0.013324 0.041641 0.014278 0.013814 0 0
-0.017116 -0.004671 -0.002078 -0.009194 -0.00924 -0.015211 -0.043238 0.006517 0 0
-0.061621 -0.005759 -0.024076 -0.019536 0.002869 0 -0.008408 -0.059447 0 0
