HON IBM JNJ HNZ HAL HPQ JPM INTC HD
-0.004082 0.002398 -0.011882 -0.013816 0.00051 -0.010507 -0.025891 0.008801 -0.001378
-0.027322 -0.001949 -0.015079 -0.009662 0.008406 0.018582 -0.001743 0.038895 -0.033721
0.016854 0.003462 -0.009496 0.012195 0.038899 -0.013031 -0.02488 0.013646 -0.037755
0.022099 0.004246 -0.008022 -0.001687 -0.060297 -0.002263 -0.014772 -0.011046 -0.006363
0.032432 0.013918 0.029586 0.007483 -0.038292 0.030246 0.022263 0.034555 0.003202
-0.084031 -0.018245 -0.042146 -0.020364 -0.042238 0.049541 -0.008889 -0.013158 -0.009574
-0.02515 0.011947 0.0238 0.033015 -0.04073 0.003497 0.026906 0.027692 0.024705
0.029024 -0.011981 -0.00293 -0.005919 -0.002928 -0.010453 0.004149 0.013307 0.003983
0.045228 -0.007789 -0.002547 0 -0.003231 -0.027113 -0.002629 -0.020355 -0.025684
-0.03589 -0.049955 -0.009821 -0.000953 -0.022687 -0.043431 -0.022403 -0.047252 -0.027861
-0.014493 -0.016714 0.033922 -0.005959 -0.011155 0.010216 -0.011683 0.016532 0.013889
-0.008074 -0.026356 0.007291 0.006715 0.014939 -0.046816 -0.04501 -0.038408 -0.021526
0.031977 0.018537 0.018857 -0.001191 -0.002103 0.01336 0.000952 0.009716 0.015778
0.017183 0.03274 -0.012152 0.001431 -0.043648 0.047693 0.011653 0.072701 0.050098
0.0108 0.011935 0.003974 -0.003334 0.011961 0.035529 0.000235 0.00299 0.014583
-0.011233 -0.006542 0.012818 0.002867 -0.054432 -0.056469 -0.031727 -0.035111 0.008214
-0.005265 0.006585 0.021962 0.00691 0.008553 0 0.026699 0.026433 0.008554
0.016713 -0.03916 -0.009288 0.010412 0.011416 -0.006061 0.03026 -0.033779 -0.005654
0.001644 -0.002685 -0.003676 -0.003279 0.017414 0.01029 0.002754 0.037037 0.011373
0.0093 0.016346 0.005351 0.005874 0.069414 -0.003395 -0.006865 -0.001001 -0.008032
-0.019783 0.001419 -0.016333 -0.009811 -0.002964 -0.008327 -0.008986 -0.031073 -0.028947
0.001106 -0.012659 -0.016604 -0.001887 -0.035672 -0.017176 -0.007673 -0.004138 -0.017303
0.016294 0.003636 -0.00019 0.011581 0.055795 -0.002718 0.005155 0.018698 0.043912
0.005435 0.010583 0.009298 -0.002336 0.036496 -0.065421 0.007925 0.012237 0.005893
0.01 -0.012264 -0.003384 -0.003981 0.016901 0.015 0.022433 -0.018805 0.00303
-0.004817 0.010984 -0.001698 0.0087 0.009695 -0.006158 -0.009048 -0.00616 -0.002014
-0.008604 -0.006046 0.022298 0.007226 -0.039506 0.018587 -0.011641 0.026515 0.016549
-0.004068 0.017584 -0.005545 -0.00648 -0.015995 0.034469 0.004619 0.031533 -0.011713
0.00354 0.016253 -0.011338 0.003494 0.030189 0.01568 0 0.044228 0
-0.001357 -0.005699 0.007332 -0.002089 -0.009298 -0.023929 -0.004138 -0.012769 -0.013057
-0.007609 -0.015437 -0.004106 -0.009072 0.003982 -0.002373 -0.012927 -0.044192 -0.017301
0.000548 -0.002441 0.011619 0.01338 0.0017 -0.00436 0.000234 0.011229 0.014706
-0.006568 -0.018071 -0.005002 0.008339 -0.052602 -0.014729 -0.016133 -0.032985 -0.022658
-0.006061 -0.001056 0.002793 0.001608 -0.044776 -0.00202 -0.004278 0.001351 0.012531
0.011641 0.008359 0.021537 0.00711 -0.015625 0.016194 0.008353 0.010118 -0.000413
-0.008493 0.008671 0.012359 -0.007743 -0.022222 -0.009163 -0.003077 0.020367 -0.007429
0.01354 0.003212 0.02316 0.006426 -0.008442 -0.000402 0.003086 -0.006872 0.024948
0.017448 -0.011205 0.000175 0.00935 0.075311 -0.030571 -0.002367 -0.018781 -0.002231
0.009847 0.007047 -0.037018 0.004745 -0.016443 0.001245 0.000712 0.01276 0.014231
-0.014667 -0.010969 -0.01749 0.007196 -0.011765 -0.003315 -0.016596 -0.069297 -0.013229
0.031123 -0.004685 0.020465 0.004465 -0.013784 0.02869 -0.009402 0.004631 0.011578
-0.02231 -0.02123 -0.010027 0.003112 0.018107 -0.001617 -0.016549 -0.040071 -0.034137
0.006711 0.020316 0.00884 0.008199 -0.019033 -0.008097 0.01955 0.032878 0.014553
0.0112 -0.009234 -0.002556 -0.003516 -0.019084 -0.02 -0.01165 -0.010372 -0.016598
0.027163 0.038738 -0.000732 0.005734 0.007782 0.046647 0.005157 0.050958 0.040633
0 -0.001215 -0.004579 -0.000439 0.007078 -0.004377 0.004153 0.002407 -0.019023
-0.036971 -0.017874 -0.008832 -0.001755 -0.027157 -0.016387 -0.014842 -0.021955 -0.021433
-0.01333 -0.007813 -0.010952 -0.005495 -0.009852 -0.026818 -0.022722 -0.014381 -0.018789
-0.003512 -0.036205 -0.003566 0.000663 -0.07131 -0.022965 -0.00834 -0.03452 -0.025106
0.010304 -0.004085 -0.007158 -0.002208 -0.005 -0.00812 0.004077 0.030593 0.002837
-0.00832 0.015408 0.065263 0.012616 0.04038 -0.186988 0.010914 -0.0397 0.018934
0.011908 -0.011233 0.001603 0.026448 0.005197 -0.034976 -0.037158 0.023091 -0.017727
-0.013105 -0.023418 0.012447 -0.007453 0.006894 -0.028006 -0.036767 -0.049873 -0.053055
-0.031165 -0.014388 -0.02125 -0.016949 -0.031838 0.021469 0.001624 -0.008046 -0.059701
-0.001399 -0.001242 -0.001974 -0.006766 0.015912 -0.010509 0.007027 0.006953 -0.009768
-0.173669 -0.032445 0.003596 0.005274 -0.072398 -0.100056 -0.053945 -0.095128 -0.107275
-0.033559 0.032783 -0.023647 -0.000219 -0.080675 0.011236 -0.011631 -0.005087 0.013536
-0.067696 -0.004149 -0.017615 -0.028203 -0.07551 -0.049383 -0.020953 -0.050703 -0.037885
-0.112491 -0.027083 -0.022226 -0.026322 -0.048124 -0.058442 -0.074758 -0.072262 -0.070822
0.051293 -0.031049 -0.002101 -0.05268 0.04731 0.031724 -0.023447 -0.06628 0.009451
0.122581 0.047514 0.003254 0.012195 -0.061116 0.076203 0.057106 0.104145 0.087587
0.014727 -0.003692 0.010113 0.011928 -0.053774 -0.00559 0.020565 0.017363 0.008053
-0.079646 -0.033351 0.022478 0.009858 -0.017946 -0.000625 -0.01985 -0.035978 -0.020661
-0.036538 -0.014239 0.006466 0.004286 0.060914 0.0125 0.016263 -0.016746 0.037975
0.053892 0.019111 0.016887 -0.000711 0.078947 -0.009259 0.031099 -0.005353 0.039837
-0.011364 0.010794 0.000361 -0.00949 -0.028825 -0.028037 -0.004392 -0.021037 -0.014334
-0.017241 0.011433 -0.007759 0.00479 -0.021918 -0.022436 0.029118 -0.023488 0.032522
0.050682 0.033913 -0.013093 0 0.042484 0.04918 0.000571 0.086489 0.045583
0.009647 0.003713 0.003317 0.000954 0.063592 0 -0.01471 0.015073 -0.040167
0.022051 0.007296 0.0191 0.00905 -0.015579 0.028125 -0.021956 0.019026 0.005614
0.02589 0.004897 0.005046 -0.012509 0.028657 0.030395 -0.029033 0.01275 -0.026389
-0.003155 -0.013807 -0.005917 -0.016491 0.009563 -0.013569 0.015721 -0.035522 -0.012249
0.012658 0.001132 0.010823 0.021871 0.068781 0.016746 0.013354 0.075058 0.06095
0.019097 0.022108 -0.019629 -0.015696 -0.008093 0.064706 0.000898 0.062879 0.071873
-0.007155 0.014487 0.007463 -0.039623 -0.01554 0.013812 -0.015859 0.020808 -0.032947
-0.028826 0.011503 0.006685 -0.000252 -0.030387 -0.012534 0.020067 -0.02558 -0.017275
0.001767 -0.001471 0.018844 0.004026 0.01221 0.020971 0.011624 0.02379 0.016113
-0.022928 0.010309 0.017615 0.013784 -0.020507 -0.026486 0.019446 -0.015625 -0.02667
-0.002888 -0.015938 0.005366 0.01953 -0.053777 -0.022765 -0.013295 -0.021164 0.00469
-0.011586 0.013727 0.005854 0.013579 0.041215 0.039205 -0.007909 0.004158 -0.007125
0.02381 0.025329 0.009415 0.003589 0.022917 0.000547 0.042516 0.047619 -0.011383
-0.012522 0.005321 -0.002035 -0.002861 0.012627 -0.020765 0.012744 -0.011858 0.010012
0.025 0.026085 0.006967 0.001912 0.00362 0.00558 0.012864 0.0192 -0.003717
0.025097 0.01925 -0.004894 0.002147 0.096192 0.006659 0.034787 0.024333 0.006219
0.034483 0.004518 -0.005087 0.005 0.020841 -0.015987 0.001868 -0.009195 -0.003955
-0.003333 -0.02285 -0.001875 -0.004975 -0.004298 -0.02521 -0.049001 -0.064965 -0.04145
-0.040134 0.000276 -0.012124 0.00119 -0.052158 -0.024713 -0.005601 -0.026468 -0.026411
0.029617 -0.005338 0.001037 0.009275 -0.062998 -0.00825 -0.004224 0.037383 0.016755
0.030457 0.016841 0.016577 0.006126 -0.028757 0.027926 0.027715 0.062244 0.004447
0.022988 -0.003549 0.001869 0.011944 -0.025855 -0.021965 -0.008255 0.013878 0.05
0.026645 0.004292 -0.008477 -0.001851 -0.032962 -0.001773 0.008879 0.025856 0.030506
0.000313 0.038374 0.008892 0.003942 -0.038513 0.172883 0.032453 0.047849 0.027678
-0.027196 -0.001752 -0.004237 -0.000924 0.019797 -0.031802 0.02797 0.001416 -0.017564
0.020244 -0.000351 0.004255 -0.012945 0.025734 -0.043274 0.005442 -0.000353 -0.00143
-0.00063 0.002372 0.009492 -0.065574 0.001761 0.034877 0.006443 -0.014144 0.005252
-0.038134 0.006837 -0.009067 -0.005764 0.001318 0.016324 -0.006402 0.017934 -0.02351
0.038663 0.016019 0.010674 0.008319 0.009215 0.048187 0.014175 0.058844 0.070039
-0.015773 -0.020137 0.007041 -0.012 -0.06087 0.091448 0.007624 0.042263 0.050682
-0.010577 0.003498 -0.001165 0 -0.071759 0.000453 -0.002522 -0.017241 0.005624
0.015144 -0.002179 0.001667 0.00835 0.010474 -0.026709 -0.00354 -0.004873 -0.014842
0.023756 0.004367 -0.000334 -0.014806 0.004442 0.002326 0.017508 0.011753 0.027729
0.003449 0.003826 0.014691 -0.006622 0.046683 -0.027842 -0.017456 -0.033559 -0.018908
-0.004687 -0.009529 0.001152 -0.001538 -0.018779 -0.020525 -0.014213 0.028714 0.004331
0.02449 0.008833 0.001972 0.002311 0.027751 0.020468 0.014161 0.008114 0.004312
0.023598 0.008496 -0.007709 -0.005637 -0.018156 0.009073 0.002539 0.026079 -0.022757
-0.010778 -0.01831 -0.008099 -0.014687 0.042437 -0.039281 0.00785 0.013806 -0.047671
-0.004237 -0.017951 -0.000333 0.014644 -0.02516 -0.006404 -0.057789 -0.017023 0.011534
0.004559 0.02033 -0.025171 -0.015979 0.018301 0.060982 0.014933 0.017632 0.005023
0.002723 0.010137 -0.003933 -0.001572 -0.012442 0.02757 -0.008933 0.01052 0.059746
-0.004224 -0.012631 0.00103 0.021773 0.029398 -0.022738 -0.031018 -0.018983 -0.005573
