 BMY BA BK BAC BHI BAX BRB
-0.024214 0.014978 0.016634 0.008827 0.010714 0.007303 0.008547
0.021753 -0.023548 -0.003272 -0.017888 -0.010601 0.011644 -0.007062
-0.00205 -0.040997 -0.006373 -0.012212 0.020918 0.005647 -0.004267
0.014539 0.007544 -0.001944 -0.005878 0.029485 0.007775 -0.007143
-0.012461 0.030116 -0.009737 0.000612 0.033981 0.020036 0.023022
-0.022082 0.003554 -0.002163 0.024042 0.011737 -0.008088 0
-0.022581 0.031708 0.014387 0.049542 0.037355 -0.043313 0
0.021617 0.01014 -0.015932 0.018389 0.006263 0.026345 0.005626
0.020837 0.011583 -0.028628 -0.02271 -0.020449 0.001941 -0.005594
-0.018987 -0.068702 -0.044715 -0.016762 -0.028818 -0.028525 -0.014065
-0.016129 -0.007049 0.008511 0.050949 -0.026869 0.018283 -0.015692
-0.03459 -0.0421 -0.059072 -0.046083 -0.009844 -0.015234 -0.044928
-0.004245 -0.033092 0.058296 0.009662 -0.03128 -0.004972 0.028832
-0.042462 -0.041889 -0.040254 -0.016268 0 -0.001666 -0.041298
0.04203 0.042233 0.003311 0.030545 0.019524 0.001335 0.001538
-0.030935 -0.018208 -0.027063 -0.031716 0.013995 -0.006887 -0.006144
-0.034392 -0.020909 -0.033243 -0.006629 -0.029056 0.000224 0.001546
0.004566 -0.034355 0.005614 -0.025123 -0.024938 -0.047193 -0.006173
0.028182 0.019231 0.05164 0.062613 0.01023 0.032746 0.024845
0.014147 0.046038 0.021455 -0.005305 0.023797 0.01307 0.012121
0.015867 -0.004329 0.045907 0.037714 -0.011375 0.013574 0.023952
0.007037 -0.003623 0.018634 -0.001101 -0.029515 0.025678 -0.057018
0.01534 0.017273 -0.014228 -0.023153 -0.063144 0.01392 -0.016279
-0.002854 -0.00429 0.015258 0.02991 -0.0011 0.001916 0.031521
-0.01936 -0.012386 0.002031 -0.013516 -0.055081 -0.015509 -0.022307
-0.04721 -0.007452 -0.014998 -0.032587 -0.042553 -0.028917 -0.015471
0.024775 0.000366 -0.01749 -0.037129 0.028919 0.025 0.031746
0.027562 0.039905 0.032461 0.03061 0.036095 0.01897 0.049231
-0.011348 -0.01461 -0.019473 -0.043587 -0.014849 -0.046809 -0.014663
0.017391 0.015899 0.003103 0.020367 0.031014 0.009263 -0.008929
-0.001709 0.051873 0.019592 0.026087 0.012089 0.001106 -0.025526
-0.034932 -0.011702 -0.002427 0.012134 -0.011667 -0.0169 -0.007627
0.028566 0.023342 0.00365 0.007612 -0.012085 0.006067 -0.004736
-0.00276 -0.012397 0.00303 -0.009443 0.012802 0.010163 0.00156
0.035288 0.014226 0.012085 -0.00858 0.019663 0.016584 0.051402
-0.041771 0.011551 0.025473 0.061154 -0.045454 -0.013594 0.011852
-0.013078 -0.01093 0.016553 0.022109 -0.034055 -0.014333 0.013177
-0.0053 0.017648 -0.003257 -0.024645 0.036749 0.002908 -0.008671
0.011545 -0.025284 -0.006919 -0.001454 0.037464 -0.004907 0.002915
-0.035996 0.010974 -0.031353 -0.007828 0.007222 -0.014795 -0.023256
0.035701 -0.007566 0.001998 0.007339 -0.000827 0.035267 -0.017857
0.003166 0.010607 -0.005583 0.004007 0.062655 0.002198 0
0.012447 0.010331 0.002607 0.032656 0.01039 0.005482 0.015227
-0.030303 0.003084 0.004 -0.016163 0.010026 -0.005998 0.01485
-0.010536 0.026375 0.010558 0.008036 -0.030797 0.024136 0.007353
-0.011911 0.008986 -0.011827 -0.006023 -0.062763 -0.019604 -0.008759
0.005479 0 0.015161 -0.002852 -0.010507 0.023383 0
0.013987 0.007813 0.015917 0.007685 0.022727 0.011211 0.014728
0.023289 0.002946 -0.00677 -0.002661 -0.013889 0.004012 0.007257
-0.019608 -0.000928 -0.010711 -0.009248 0.010704 -0.01935 -0.004323
0 0.008355 0.000787 -0.005923 0.031215 0.006434 -0.001447
-0.00875 0.014615 -0.004524 0.007223 0.00027 -0.003303 -0.007246
0.008287 0.00091 -0.012053 -0.040516 -0.01432 -0.011118 -0.003066
-0.000715 0.011059 0.015 0.016442 0.03125 0.003243 -0.015961
0.005721 -0.002248 0.025025 0.011948 0.039341 0.017996 -0.001488
0.011556 0.002403 0.028643 0.027248 0.01023 0.009844 0
-0.005272 0.030562 0.009905 0.000884 0.025823 0.019078 -0.004471
-0.010601 -0.006396 -0.015544 0.007067 0.004689 -0.009669 0.004491
-0.012679 0.004974 0.006579 -0.008947 0.019406 0.019526 0.013413
-0.00633 -0.010045 0.020542 0.03806 -0.015904 0.002445 -0.002941
-0.012377 -0.029412 0.002013 -0.000512 -0.032811 -0.004472 0
-0.014007 -0.012121 -0.002009 0.023545 -0.025316 0.000306 -0.00295
0.013084 -0.028681 -0.013175 -0.021337 0.025974 -0.01194 0
-0.000738 0.003158 0.005377 0.015159 -0.007089 -0.002272 0.005917
0.013479 -0.007555 -0.002213 -0.004362 -0.015043 0.015528 -0.001471
-0.011842 -0.002538 0.009427 0.007996 0.019933 0.006728 0.011782
0.037057 0.033551 0.013551 -0.019409 -0.005076 0.014783 -0.004367
0.013333 0.015846 -0.001445 0.009122 0.010204 0.009579 0.001462
0.015965 0.01363 -0.014474 0.022514 -0.006566 -0.006918 0
-0.022621 -0.012401 -0.009914 -0.004337 -0.029487 -0.010549 0
0.001413 -0.006808 -0.016317 -0.001508 -0.022263 0.001408 0.00292
-0.003881 -0.016146 -0.012441 -0.009564 -0.005626 0.004219 -0.0131
-0.00673 -0.001393 -0.000191 -0.004913 -0.003233 -0.012202 -0.007375
-0.013909 0.01876 -0.004964 0.006129 0.02027 -0.001418 0.017831
0.012658 -0.003348 -0.009977 0 0.019338 0.004462 -0.00146
0.001786 -0.02947 -0.01124 -0.023689 -0.016892 0.005047 -0.010234
-0.010695 0.010856 -0.011172 0.005546 0.017975 0.015468 -0.039882
-0.007928 0.009805 0.005154 0.021027 -0.013243 0.002572 0.021538
-0.001998 -0.047472 0.007691 0.008103 0.003684 0.031373 0.003012
0.003822 -0.011165 0.005871 0.007033 -0.01914 0.007653 -0.010511
0.003626 -0.054983 0.025292 0.020619 -0.035017 0.025252 -0.017451
-0.016438 -0.012987 -0.033207 0.009123 -0.002216 -0.026296 0.034749
-0.011938 -0.000702 -0.041217 -0.011947 -0.012215 0.004184 -0.008955
-0.009851 0.001053 0.00737 -0.013072 0.041034 -0.012311 0.012048
-0.021964 0.011926 -0.003048 -0.001325 -0.059125 0.005944 0.010417
0.011516 -0.007972 0.000815 -0.005637 -0.027547 0.010865 0
-0.00759 -0.028651 -0.022403 0.000834 -0.011508 -0.047709 0.022091
0.022371 0.013669 0.015833 0.007829 -0.016716 -0.009901 -0.004323
0.008509 -0.000532 -0.01087 -0.000165 0.000304 -0.0202 -0.005789
-0.008574 -0.019528 -0.023429 -0.003472 0.005463 -0.010002 -0.001456
-0.001692 -0.016839 -0.010828 -0.031851 -0.010866 -0.012371 0.020408
0.016384 -0.027072 0.029191 0.009596 -0.02014 0.026513 0.011429
0.00982 0.024986 -0.023983 -0.032926 0.005606 -0.012813 -0.00565
-0.020734 -0.023084 0.017308 0.006493 -0.012078 -0.014009 0
-0.01855 0.030246 0.007141 0.036269 -0.028213 0.005432 -0.017045
0.007255 0.010459 0.03024 0.013798 0.019355 -0.009767 -0.001445
-0.009856 0.003813 -0.129555 0.018755 -0.040823 0.004197 -0.015919
0.014931 0.018452 -0.011628 0.037797 0.003959 -0.001045 0.018382
0.035835 0.014742 0.033176 0.005965 0.025961 -0.006276 -0.00361
0.011471 -0.012953 -0.005946 -0.009051 0.030109 0.023158 -0.014493
0.008821 0.007093 -0.022314 -0.010236 0.032338 0.000206 0
-0.003926 -0.009509 -0.008235 -0.007955 0.014458 0.004937 0.001471
-0.020244 -0.0176 0.010202 -0.005453 -0.018409 -0.013511 -0.001468
0.038033 0.025516 0.011038 0.006289 0.032063 0.031334 0.002941
-0.008807 0.02541 0.017886 0.011378 0.049238 0 -0.002933
0.002843 0.000516 0.031492 0.00618 0.010335 -0.017304 0
