GD GE F FDX GILD FCX GS GOOG 
-0.006382 -0.031045 -0.004367 -0.022679 -0.059054 -0.013730 -0.012486 0
0.018040 -0.029055 -0.011563 -0.007644 0.007476 -0.011601 -0.007147 0
0.004162 -0.010863 -0.020976 0.012380 0.026920 -0.025039 -0.031008 0
0.002674 0.012640 0.022250 0.051902 0.007562 -0.021669 -0.010286 0
0.037467 -0.002455 -0.010480 0.038491 -0.029520 -0.093519 -0.009238 0
-0.018378 0.029744 0.021996 0.006965 -0.009108 -0.029864 -0.013986 0
-0.001047 -0.013745 -0.001594 0.018281 0.008672 0.000000 -0.007092 0
0.005242 -0.017774 -0.000798 -0.015041 -0.020977 -0.027985 0.000000 0
-0.025684 -0.032598 -0.029964 -0.015025 -0.021426 -0.001919 -0.010714 0
0.009635 -0.000853 0.003707 0.003751 0.009153 0.030769 -0.014320 0
-0.010470 -0.023266 0.015593 -0.007972 -0.030766 0.076493 -0.003785 0
0.006965 -0.025131 0.023030 0.003265 -0.028991 0.030329 0.000000 0
0.048064 0.053575 -0.002370 0.029787 0.010960 0.000841 0.060662 0
0.003057 0.009574 0.013460 0.022849 0.058505 -0.000840 -0.004622 0
0.021844 -0.025922 -0.023438 -0.005466 -0.125905 -0.017662 -0.031921 0
-0.015411 -0.002380 0.028800 0.006691 0.054950 0.048801 0.029376 0
0.022469 0.000868 -0.014774 -0.017327 0.041746 0.026939 -0.021549 0
0.036543 0.007151 0.011839 -0.000725 -0.025184 0.013514 -0.011905 0
-0.012030 0.003227 0.004680 -0.002901 0.018857 -0.007843 -0.000602 0
-0.016154 -0.028522 -0.009317 -0.018182 -0.020914 -0.049802 -0.014587 0
-0.021076 -0.028698 -0.011364 -0.009136 -0.055199 -0.009983 0.001346 0
0.003129 -0.004545 0.010702 0.012210 0.017007 -0.007563 0.016494 0
0.006988 -0.001142 -0.016078 0.006401 0.076923 -0.009314 0.017308 0
0.006320 0.020571 0.006776 0.000245 -0.012422 0.034188 0.003544 0
0.001108 -0.023516 -0.003959 0.002935 -0.054569 -0.132231 -0.025112 0
-0.005043 -0.002294 0.012321 0.008778 0.003522 0.024762 0.005684 0
0.030412 -0.016092 -0.005497 0.007977 -0.007604 0.022305 0.026335 0
0.000720 -0.014019 0.003596 0.000959 -0.021611 -0.010000 0.011131 0
-0.008872 0.013033 -0.006768 -0.017729 0.056024 0.002755 -0.009270 0
-0.010403 -0.031813 -0.012024 0.000000 -0.019015 0.004579 -0.018129 0
0.020535 0.033341 0.004057 0.001219 -0.014344 0.000912 -0.004884 0
-0.017727 -0.026187 -0.015354 -0.007065 -0.049361 -0.000911 -0.020828 0
0.022436 0.006002 0.000000 -0.018646 -0.005999 0.010939 -0.021394 0
0.014669 0.015990 0.016414 -0.000750 -0.001457 -0.016231 0.009369 0
-0.008815 -0.007987 -0.041583 0.004503 0.056482 0.010083 0.017327 0
-0.018855 -0.008998 -0.031592 0.001245 0.005721 0.009982 -0.010949 0
-0.010757 -0.001673 -0.019139 -0.006219 0.020204 0.005391 0.006765 0
0.016982 -0.004308 0.040798 0.011765 -0.001346 0.008043 -0.009163 0
-0.018381 -0.019231 -0.075415 -0.006927 -0.046977 0.045213 -0.047472 0
0.009179 0.017892 -0.059908 0.000747 0.031515 0.005937 0.007637 0
-0.001940 -0.025524 -0.014706 -0.002738 0.013513 0.013491 -0.031346 0
-0.023329 0.009390 0.010448 0.006740 0.062029 -0.019967 0.027851 0
0.008460 0.004651 -0.011324 0.004215 0.070597 0.024618 0.002581 0
0.023933 0.023148 0.015438 0.020988 0.028382 0.037283 0.046332 0
-0.004819 0.004287 -0.006866 -0.000967 0.020658 -0.014377 0.007380 0
-0.013801 -0.022291 0.003457 0.025175 -0.011496 0.004862 -0.010378 0
-0.013872 -0.015038 -0.006398 0.015112 0.008190 -0.000806 -0.003085 0
-0.010332 -0.010096 -0.021298 -0.021866 0.003249 -0.012914 -0.014728 0
-0.006792 0.019403 0.005567 0.001189 -0.016842 0.012265 0.006155 0
-0.013931 -0.003660 0.019124 0.010214 -0.000329 -0.026656 -0.005992 0
-0.003339 0.021308 -0.013827 -0.008229 -0.016148 0.016597 -0.013439 0
0.001675 -0.028777 -0.028543 -0.022048 0.009714 -0.018775 -0.018460 0
-0.016725 -0.020741 -0.032990 -0.025212 -0.023885 0.004992 -0.033982 0
-0.006019 -0.007816 0.034115 -0.005720 -0.016143 -0.009106 0.023093 0
0.091220 -0.106734 -0.146907 -0.042021 -0.085147 -0.055138 -0.089239 0
-0.005428 -0.036984 0.022961 -0.062663 -0.074004 0.016799 -0.027378 0
0.004124 -0.039882 -0.029533 -0.029805 0.024465 0.011304 0.000148 0
-0.041430 -0.065538 -0.057212 0.003445 0.016119 0.016337 -0.026070 0
0.058720 0.030622 -0.009684 -0.014306 -0.066588 0.011844 0.029506 0
0.025946 0.124601 0.071056 0.037155 0.016786 -0.040970 0.041661 0
-0.004408 0.008523 -0.018868 0.000560 0.080891 -0.067132 -0.006808 0
-0.005010 0.003944 0.016129 -0.023776 0.035701 0.003738 -0.002570 0
0.049303 0.013247 0.010989 -0.004298 0.047373 -0.017691 -0.013601 0
-0.014286 0.034771 0.047705 0.057554 -0.011440 0.041706 0.035559 0
-0.016418 0.011828 -0.006340 -0.030204 0.008011 -0.041856 0.030133 0
0.000921 0.010893 0.032483 0.024130 . 0.008547 0.001361 0
0.036343 0.002628 0.008427 0.038356 . 0.000000 0.041984 0
0.018368 -0.019921 -0.039554 0.001847 0.033027 -0.032015 0.030121 0
0.012243 0.001605 0.024942 0.019226 -0.025987 0.016537 -0.034810 0
0.025810 -0.017357 -0.021505 -0.014729 0.000527 -0.054545 -0.012459 0
-0.044847 0.000543 0.015037 -0.022554 0.032632 -0.020243 0.034927 0
