date  hour minute second price size
20100104 9 31 44 57.66 100
20100104 9 31 44 57.66 300
20100104 9 31 44 57.66 200
20100104 9 31 44 57.66 400
20100104 9 31 44 57.65 100
20100104 9 31 44 57.65 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.66 100
20100104 9 31 44 57.66 400
20100104 9 31 44 57.66 200
20100104 9 31 44 57.66 100
20100104 9 31 44 57.66 300
20100104 9 31 44 57.66 100
20100104 9 31 44 57.65 100
20100104 9 31 44 57.65 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.66 100
20100104 9 31 44 57.65 1600
20100104 9 31 44 57.66 200
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.66 100
20100104 9 31 44 57.67 100
20100104 9 31 45 57.67 100
20100104 9 31 46 57.66 200
20100104 9 31 49 57.67 100
20100104 9 31 49 57.67 100
20100104 9 31 49 57.68 200
20100104 9 31 50 57.65 100
20100104 9 31 50 57.65 200
20100104 9 31 51 57.64 100
20100104 9 31 51 57.64 100
20100104 9 31 51 57.64 100
20100104 9 31 51 57.64 200
20100104 9 31 51 57.64 100
20100104 9 31 51 57.64 100
20100104 9 31 51 57.64 100
20100104 9 31 51 57.64 100
20100104 9 31 52 57.66 150
20100104 9 31 52 57.66 100
20100104 9 31 53 57.66 100
20100104 9 31 53 57.68 500
20100104 9 31 53 57.68 100
20100104 9 31 53 57.68 100
20100104 9 31 53 57.6799 100
20100104 9 31 53 57.6799 100
20100104 9 31 53 57.68 100
20100104 9 31 53 57.68 100
20100104 9 31 53 57.6799 500
20100104 9 31 55 57.69 100
20100104 9 31 55 57.68 300
20100104 9 31 55 57.68 1000
20100104 9 31 55 57.68 100
20100104 9 31 55 57.68 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 100
20100104 9 31 55 57.69 200
20100104 9 31 56 57.65 100
20100104 9 31 56 57.64 100
20100104 9 31 56 57.64 100
20100104 9 31 58 57.64 100
20100104 9 32 0 57.68 400
20100104 9 32 0 57.69 100
20100104 9 32 0 57.6899 100
20100104 9 32 0 57.69 100
20100104 9 32 0 57.69 700
20100104 9 32 1 57.65 100
20100104 9 32 1 57.65 100
20100104 9 32 1 57.68 300
20100104 9 32 1 57.69 100
20100104 9 32 1 57.67 100
20100104 9 32 1 57.6701 100
20100104 9 32 1 57.6701 100
