XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
-0.002694 0.007194 0.014296 -0.020782 0.060794 -0.019554 0.022836 0.011249 0.005618 -0.024778 -0.005622 0.029683
0.002364 0.019481 0.026039 0.101124 0.016374 0.036636 0.013321 0.03103 0.003784 0.029722 0.010424 0.005395
-0.005165 -0.00535 -0.003958 0.024943 -0.029459 -0.017775 0.046658 -0.020632 -0.011311 -0.013966 0.004546 0.003987
0.002257 0.004739 0.035531 0.095133 0.028693 0.007877 0.006368 0.034016 0.029417 -0.011331 0.007833 0.010385
-0.025901 -0.003952 -0.029797 -0.035353 -0.071923 0.010562 0.012129 -0.00785 0.003704 0.018147 0.004836 -0.04474
-0.004624 0.002176 -0.013029 0.038743 0.009935 -0.003151 -0.020287 0.000377 -0.019332 0.036585 -0.001891 -0.025316
0.016841 0.0083 0.007779 -0.008065 0.02484 -0.003161 0.019279 -0.001507 0 0.026244 0.000172 -0.007305
0.00731 -0.007092 -0.023392 0.00813 -0.057355 0.000846 -0.013135 -0.018295 0.018459 -0.063492 -0.003099 -0.005724
0.006236 -0.016327 -0.010299 -0.012097 0.006619 -0.018166 0.000355 -0.001345 -0.021644 -0.001883 -0.004318 -0.027796
0.011044 -0.004798 0.006292 0.020408 0.020738 -0.010327 -0.002661 -0.007503 -0.032014 0.007075 -0.000347 0.001523
-0.013152 0.025798 -0.012025 -0.002 0.012141 -0.001739 0.017254 0.035472 -0.007618 -0.013115 0.001215 -0.030068
-0.005221 0.0047 -0.016797 0.016032 -0.015177 -0.009146 -0.007344 0.012729 -0.002247 -0.005695 0.005026 0.017938
0.016203 -0.002781 0.015103 -0.013807 -0.000994 0.002198 0.009864 0.004621 0.010696 0.009546 -0.006725 0.011976
0.004379 0.006592 -0.014634 0.065 -0.002737 -0.00921 0.011512 -0.043238 0.002599 0.016548 0.001736 0.002198
0.000559 0.046914 0.002846 0.016901 0.009232 0.01151 0.060873 -0.006731 0.016667 0.020465 0.006412 0.025135
-0.008603 0.02111 0.002717 0.003693 0.001483 -0.006346 0.008615 0.00213 -0.021312 -0.012762 0.026864 -0.039493
0.016567 0.030242 0.003203 0.00368 0.030857 0.012552 -0.016116 0.00541 0.008003 0.00831 0.003689 -0.028268
-0.016075 -0.010435 0.011542 0.04033 0.0091 0.004785 -0.002293 0.022291 0.009417 0.002747 0.001003 -0.021862
0.000676 -0.01715 -0.011168 -0.052863 -0.011628 0.021645 -0.031029 0.006015 -0.00439 0.015525 -0.002504 -0.021269
-0.01734 -0.003183 -0.00933 -0.018605 0.005522 0.015678 -0.00305 -0.018685 -0.013412 0.004047 -0.008869 -0.023389
0.007563 -0.003785 -0.001487 -0.020853 0.005492 -0.00292 -0.031271 0.007045 0.004097 0.012539 -0.000506 0.042806
0.001933 -0.011635 0.004964 -0.032914 -0.019235 -0.019456 -0.006491 -0.031953 0.000927 -0.016807 -0.003041 -0.015371
-0.003405 0.001201 -0.01877 -0.054054 -0.030024 -0.002347 0.012714 0.000195 0.010376 -0.004948 -0.00051 -0.011938
0.012187 -0.019796 0.010571 -0.044444 -0.017723 -0.001283 -0.005754 0.005077 -0.009719 -0.000904 0 0.026394
-0.00135 0.019706 0.000996 0.097453 0.001271 0.008137 0.003332 0.00544 0.015741 0.00905 0.011054 0.041289
0.002253 -0.00168 -0.004479 0.069627 -0.008883 0.005098 0.008041 -0.00058 -0.002005 0.008969 -0.015139 -0.013913
0.021136 0.013827 0.006748 0.014151 0.003841 0.021767 0.002254 -0.014114 0.012057 0.011111 -0.00427 0.001058
0.007927 0.006641 0.007944 -0.070698 -0.02551 0.008687 0.013841 0.00608 0.001805 0.003956 -0.000171 0.006343
-0.023484 -0.02804 0.003695 -0.015015 -0.027487 -0.019069 -0.004096 -0.010721 -0.019279 0.011384 -0.003774 0.022409
-0.002461 0.008606 0.003436 -0.070122 -0.003784 -0.003763 0.008396 0.006897 -0.020761 -0.004329 0.006199 -0.010616
0.002355 -0.021632 -0.003424 -0.0153 0.021704 -0.025598 -0.015633 -0.001566 0.003752 -0.011304 -0.005819 0.007788
0.003468 -0.011424 -0.010552 -0.023307 0.007435 -0.014643 -0.016226 -0.015484 0.005794 0 -0.008091 -0.026103
0.004682 -0.000746 0.009425 -0.005682 -0.025567 -0.007867 -0.020881 0.006769 0.010035 -0.005717 0.000694 0.001587
-0.001553 -0.00199 0.007371 -0.038857 -0.008656 -0.022687 0.002688 -0.008305 -0.013799 -0.004865 -0.007284 0.014084
