nibm        vol       vix
0.01434135 0.02415052 35.26
-0.01893068 0.02530908 34
-0.01073616 0.02435734 31.93
-0.01136814 0.02372521 32.32
-0.03335063 0.02263681 31.18
-0.003706124 0.02165982 31.34
-0.007269513 0.02297004 31.97
-0.004885049 0.02172178 33.39
0.0139032 0.02064062 35.12
-0.00113136 0.01956785 34.83
-0.02186716 0.01908358 31.6
-0.01438307 0.01806622 31.5
-0.01143734 0.01840324 35.27
0.001472083 0.01797276 35.31
-0.01025622 0.0173736 32.88
0.01606638 0.01648264 35.08
-0.01363364 0.01593742 34.95
-0.02501354 0.01603243 34.11
-0.005306893 0.01577364 32.25
-0.02575059 0.01687076 32
-0.01906706 0.01607042 30.95
-0.004507824 0.01722417 29.46
0.02311511 0.01735384 28.42
-0.0002759619 0.01649787 31.64
0.005352298 0.01737516 33.46
-0.01670076 0.01647124 33.56
0.003555313 0.01574248 32.31
-0.004282816 0.01580184 30.71
-0.03765603 0.01506282 30.5
0.001753537 0.01436475 28.8
0.0003510616 0.01804622 29.13
-0.002369191 0.01711336 28.62
-0.006813734 0.01622959 27.44
-0.01589205 0.01541336 29.35
0.02034251 0.01477578 26.47
-0.003491896 0.01486767 26.56
0.002181377 0.01562586 25.56
-0.004357492 0.01486933 25.07
-0.003818699 0.01416466 24.46
0.009574691 0.01353489 24.12
-0.008794217 0.01293793 24.19
-0.008460112 0.01276097 23.25
0.0184797 0.01245548 23.79
0.01811407 0.01215672 24
-0.0201261 0.01310937 25.9
-0.01008597 0.01384698 25.18
0.01271145 0.01457569 23.84
-0.02175366 0.01418831 25.77
-0.0399983 0.01415204 24.08
0.01043324 0.01505647 23.02
-0.002161662 0.01902019 23.71
0.006164964 0.01834495 23.49
-0.01525997 0.01738287 25.62
-0.01389502 0.01661798 25.3
0.02423634 0.01643974 24.87
-0.007044132 0.0161616 25.91
-0.001980038 0.01725374 24.63
-0.007062998 0.0164855 24.26
-0.01373524 0.01564767 23.29
0.009651426 0.01500259 22.58
0.005721336 0.01485999 23.67
